,University,Sex,Rank,TotalCompensation
50,Brock University,female,Professor,173703.88
51,Brock University,male,Associate Professor,169158.36
52,Brock University,male,Associate Professor,193963.9
53,Brock University,male,Associate Professor,117874.86
55,Brock University,male,Associate Professor,119201.42
56,Brock University,male,Associate Professor,108102.9
57,Brock University,male,Professor,131771.34
59,Brock University,female,Associate Professor,130338.42
60,Brock University,male,Associate Professor,160424.4
61,Brock University,female,Professor,119698.92
62,Brock University,female,Associate Professor,116336.4
63,Brock University,male,Professor,130281.9
64,Brock University,male,Professor,147522.42
65,Brock University,male,Associate Professor,204791.38
67,Brock University,female,Professor,203863.38
68,Brock University,female,Associate Professor,102765.09
70,Brock University,female,Associate Professor,178836.92
73,Brock University,male,Associate Professor,152368.92
74,Brock University,female,Professor,158746.38
75,Brock University,female,Professor,158862.88
76,Brock University,male,Associate Professor,190026.36
77,Brock University,male,Professor,166002.9
78,Brock University,female,Professor,153822.9
79,Brock University,male,Associate Professor,131624.4
80,Brock University,male,Associate Professor,117355.38
81,Brock University,female,Associate Professor,125554.38
82,Brock University,male,Professor,152632.38
83,Brock University,female,Assistant Professor,103145.85
87,Brock University,female,Professor,151505.84
88,Brock University,male,Professor,281703.86
89,Brock University,male,Professor,149933.88
90,Brock University,male,Associate Professor,111424.38
93,Brock University,male,Associate Professor,125777.4
94,Brock University,female,Associate Professor,111533.34
96,Brock University,female,Professor,113250.9
97,Brock University,male,Professor,149091.9
98,Brock University,female,Associate Professor,112832.4
99,Brock University,male,Associate Professor,148357.88
100,Brock University,male,Assistant Professor,132778.34
102,Brock University,female,Professor,146139.36
103,Brock University,male,Professor,173233.92
104,Brock University,female,Associate Professor,132216.84
105,Brock University,female,Associate Professor,112102.9
106,Brock University,female,Associate Professor,128955.9
109,Brock University,male,Associate Professor,157303.86
110,Brock University,male,Assistant Professor,200968.36
111,Brock University,female,Associate Professor,109475.54
112,Brock University,male,Associate Professor,175972.92
113,Brock University,male,Professor,165411.9
114,Brock University,male,Professor,156126.36
115,Brock University,male,Associate Professor,151656.36
116,Brock University,female,Associate Professor,113866.38
117,Brock University,male,Associate Professor,129757.88
118,Brock University,male,Professor,144374.4
120,Brock University,male,Professor,165206.4
121,Brock University,male,Associate Professor,132425.9
124,Brock University,female,Associate Professor,126937.88
126,Brock University,male,Assistant Professor,108193.86
128,Brock University,male,Associate Professor,165640.4
130,Brock University,male,Professor,128815.55
131,Brock University,male,Professor,160839.86
132,Brock University,male,Professor,188005.82
133,Brock University,female,Associate Professor,125308.88
136,Brock University,female,Associate Professor,109313.88
137,Brock University,female,Assistant Professor,107401.64
138,Brock University,female,Associate Professor,121447.42
139,Brock University,male,Professor,118216.36
140,Brock University,female,Professor,192716.88
141,Brock University,male,Associate Professor,114141.92
142,Brock University,female,Associate Professor,130542.84
143,Brock University,female,Associate Professor,187169.88
144,Brock University,female,Associate Professor,112797.9
145,Brock University,female,Professor,169831.92
146,Brock University,female,Assistant Professor,101190.56
147,Brock University,male,Associate Professor,117306.9
148,Brock University,female,Professor,120519.9
150,Brock University,female,Assistant Professor,118524.36
151,Brock University,female,Associate Professor,116717.88
152,Brock University,male,Professor,143721.38
153,Brock University,female,Associate Professor,106470.42
155,Brock University,male,Associate Professor,156616.38
157,Brock University,male,Associate Professor,101401.92
158,Brock University,female,Professor,100879.86
159,Brock University,male,Associate Professor,130370.17
160,Brock University,male,Professor,159457.9
161,Brock University,male,Associate Professor,129100.34
164,Brock University,male,Professor,213898.42
165,Brock University,female,Associate Professor,109573.86
166,Brock University,male,Professor,194841.84
168,Brock University,female,Associate Professor,140374.86
169,Brock University,female,Professor,134367.84
170,Brock University,female,Associate Professor,110422.26
172,Brock University,male,Associate Professor,139916.4
173,Brock University,female,Associate Professor,108154.38
174,Brock University,male,Professor,137628.9
175,Brock University,female,Associate Professor,120142.42
176,Brock University,male,Associate Professor,105828.42
177,Brock University,male,Professor,171644.4
178,Brock University,male,Associate Professor,137662.38
179,Brock University,male,Associate Professor,109375.38
180,Brock University,male,Assistant Professor,155109.9
181,Brock University,female,Associate Professor,102909.34
182,Brock University,female,Associate Professor,170251.38
183,Brock University,male,Professor,190956.42
184,Brock University,female,Professor,154071.84
185,Brock University,female,Professor,194990.86
186,Brock University,female,Professor,172911.84
187,Brock University,male,Associate Professor,165367.38
188,Brock University,male,Associate Professor,128788.48
189,Brock University,male,Associate Professor,110969.88
190,Brock University,female,Professor,169050.42
191,Brock University,male,Associate Professor,110002.86
193,Brock University,male,Associate Professor,147079.88
196,Brock University,female,Associate Professor,106741.86
197,Brock University,male,Professor,190635.34
198,Brock University,female,Associate Professor,120020.4
199,Brock University,male,Associate Professor,164161.86
200,Brock University,male,Associate Professor,112792.86
201,Brock University,female,Professor,138821.88
202,Brock University,male,Associate Professor,101511.9
204,Brock University,male,Professor,148467.84
205,Brock University,male,Associate Professor,110697.84
206,Brock University,male,Professor,142017.38
207,Brock University,male,Associate Professor,117632.88
208,Brock University,male,Professor,182388.34
210,Brock University,male,Professor,182204.88
211,Brock University,female,Associate Professor,186842.4
212,Brock University,male,Professor,150290.4
213,Brock University,female,Associate Professor,134303.88
214,Brock University,female,Associate Professor,162791.88
217,Brock University,male,Associate Professor,107966.34
218,Brock University,male,Associate Professor,116765.9
219,Brock University,female,Associate Professor,104636.16
220,Brock University,female,Professor,147041.4
221,Brock University,female,Associate Professor,108525.66
223,Brock University,female,Associate Professor,128275.86
224,Brock University,male,Professor,154803.36
225,Brock University,male,Professor,137832.9
226,Brock University,male,Associate Professor,119242.4
227,Brock University,male,Professor,132896.4
228,Brock University,female,Associate Professor,117510.9
229,Brock University,female,Associate Professor,131247.38
231,Brock University,female,Assistant Professor,107151.42
232,Brock University,male,Associate Professor,118444.92
233,Brock University,female,Associate Professor,112549.38
234,Brock University,male,Professor,170473.38
236,Brock University,female,Associate Professor,120482.4
237,Brock University,female,Associate Professor,130981.38
239,Brock University,female,Associate Professor,115894.4
240,Brock University,male,Associate Professor,104626.86
241,Brock University,female,Assistant Professor,111970.38
242,Brock University,male,Professor,160025.88
243,Brock University,female,Associate Professor,110334.86
244,Brock University,female,Professor,151653.36
247,Brock University,female,Professor,144883.86
248,Brock University,male,Professor,159723.36
249,Brock University,male,Associate Professor,125010.9
251,Brock University,male,Associate Professor,110371.92
252,Brock University,female,Associate Professor,108542.02
253,Brock University,female,Associate Professor,128043.9
254,Brock University,male,Professor,172317.36
255,Brock University,male,Assistant Professor,103091.34
256,Brock University,male,Associate Professor,108211.86
257,Brock University,male,Associate Professor,182135.36
258,Brock University,male,Professor,149512.38
259,Brock University,male,Associate Professor,112742.4
260,Brock University,female,Professor,148382.88
261,Brock University,male,Assistant Professor,123256.86
262,Brock University,male,Associate Professor,119622.42
263,Brock University,male,Professor,199037.38
264,Brock University,female,Assistant Professor,154339.4
265,Brock University,female,Assistant Professor,110333.88
268,Brock University,male,Professor,126608.88
269,Brock University,female,Professor,144295.92
271,Brock University,female,Professor,152040.3
272,Brock University,female,Associate Professor,114402.86
274,Brock University,male,Professor,195224.38
275,Brock University,male,Associate Professor,176788.38
276,Brock University,female,Professor,158160.38
278,Brock University,male,Professor,125602.92
279,Brock University,male,Associate Professor,110488.4
280,Brock University,male,Associate Professor,110012.88
281,Brock University,female,Associate Professor,168020.86
282,Brock University,female,Assistant Professor,106724.4
284,Brock University,female,Associate Professor,133215.4
286,Brock University,female,Associate Professor,119863.34
287,Brock University,male,Associate Professor,143619.84
288,Brock University,male,Associate Professor,166357.4
289,Brock University,male,Associate Professor,168248.4
290,Brock University,male,Associate Professor,128387.88
292,Brock University,female,Associate Professor,116787.36
294,Brock University,male,Associate Professor,173120.86
295,Brock University,male,Professor,182261.9
297,Brock University,male,Assistant Professor,132664.38
298,Brock University,male,Associate Professor,114961.86
299,Brock University,male,Associate Professor,107192.86
303,Brock University,male,Professor,125064.9
304,Brock University,female,Associate Professor,149912.88
305,Brock University,female,Assistant Professor,137787.42
306,Brock University,male,Assistant Professor,180428.34
307,Brock University,male,Associate Professor,117394.92
309,Brock University,male,Professor,175111.88
312,Brock University,male,Associate Professor,150474.9
313,Brock University,female,Associate Professor,101323.38
316,Brock University,female,Assistant Professor,102386.92
317,Brock University,female,Professor,153329.84
318,Brock University,male,Professor,162998.34
319,Brock University,male,Associate Professor,148626.36
320,Brock University,female,Associate Professor,123256.86
321,Brock University,female,Associate Professor,161973.38
322,Brock University,male,Professor,182058.42
323,Brock University,male,Professor,235687.8
324,Brock University,male,Associate Professor,136966.92
325,Brock University,male,Associate Professor,134636.36
326,Brock University,male,Associate Professor,145555.42
327,Brock University,female,Associate Professor,141723.34
328,Brock University,female,Associate Professor,189194.38
330,Brock University,female,Assistant Professor,109861.4
332,Brock University,male,Associate Professor,168404.88
333,Brock University,male,Associate Professor,104433.9
334,Brock University,female,Associate Professor,216715.9
335,Brock University,male,Associate Professor,134777.88
339,Brock University,male,Associate Professor,124887.82
341,Brock University,male,Associate Professor,154272.38
343,Brock University,male,Assistant Professor,152428.34
344,Brock University,male,Associate Professor,140018.88
345,Brock University,female,Associate Professor,129756.9
347,Brock University,male,Associate Professor,134419.36
348,Brock University,male,Associate Professor,143846.88
349,Brock University,male,Associate Professor,146618.38
351,Brock University,male,Associate Professor,122853.88
352,Brock University,male,Associate Professor,141883.92
353,Brock University,female,Associate Professor,108467.88
354,Brock University,male,Associate Professor,101737.96
356,Brock University,female,Associate Professor,132501.36
357,Brock University,male,Associate Professor,247800.36
358,Brock University,male,Associate Professor,116022.36
360,Brock University,female,Assistant Professor,117363.36
362,Brock University,male,Associate Professor,104775.9
363,Brock University,female,Associate Professor,121123.14
366,Brock University,female,Associate Professor,173191.7
367,Brock University,male,Professor,167767.88
368,Brock University,female,Associate Professor,114123.18
369,Brock University,male,Professor,113656.86
370,Brock University,male,Professor,171025.86
371,Brock University,female,Professor,116191.38
372,Brock University,female,Associate Professor,158142.18
373,Brock University,female,Associate Professor,119264.34
376,Brock University,male,Associate Professor,138918.42
377,Brock University,male,Associate Professor,170814.36
378,Brock University,female,Professor,155028.76
380,Brock University,female,Associate Professor,128521.92
381,Brock University,female,Professor,149521.38
383,Brock University,male,Professor,118136.94
384,Brock University,female,Professor,150324.34
387,Brock University,female,Professor,134454.36
388,Brock University,female,Associate Professor,133228.92
389,Brock University,male,Professor,138577.98
391,Brock University,female,Associate Professor,151845.9
392,Brock University,female,Professor,157240.38
394,Brock University,male,Professor,178964.06
395,Brock University,female,Professor,183675.86
398,Brock University,male,Associate Professor,118045.38
399,Brock University,male,Associate Professor,167798.42
400,Brock University,female,Associate Professor,119273.34
402,Brock University,male,Professor,172542.36
403,Brock University,female,Associate Professor,168325.36
404,Brock University,female,Associate Professor,118085.88
405,Brock University,female,Professor,163199.86
406,Brock University,male,Associate Professor,133545.36
407,Brock University,male,Professor,177813.88
408,Brock University,male,Professor,174153.9
410,Brock University,female,Professor,137183.4
412,Brock University,female,Associate Professor,117619.38
413,Brock University,male,Associate Professor,130069.88
414,Brock University,male,Associate Professor,167553.84
415,Brock University,male,Associate Professor,126672.4
416,Brock University,female,Associate Professor,114004.38
418,Brock University,male,Associate Professor,120053.4
419,Brock University,male,Associate Professor,112969.38
420,Brock University,male,Assistant Professor,121780.92
421,Brock University,male,Associate Professor,183711.4
422,Brock University,male,Professor,134185.38
423,Brock University,male,Professor,137490.2
424,Brock University,male,Professor,139256.42
425,Brock University,male,Associate Professor,115666.34
426,Brock University,male,Professor,130334.88
427,Brock University,female,Associate Professor,119011.38
428,Brock University,male,Associate Professor,127784.82
429,Brock University,male,Associate Professor,119984.88
430,Brock University,male,Professor,127076.4
431,Brock University,male,Professor,177359.92
432,Brock University,male,Associate Professor,101176.04
433,Brock University,female,Associate Professor,141258.36
434,Brock University,female,Associate Professor,146719.38
437,Brock University,female,Associate Professor,108298.9
438,Brock University,female,Associate Professor,105332.34
439,Brock University,male,Associate Professor,150943.86
440,Brock University,female,Professor,143212.68
442,Brock University,female,Professor,155531.88
444,Brock University,female,Professor,130334.34
446,Brock University,female,Associate Professor,126811.92
447,Brock University,male,Professor,174290.4
448,Brock University,female,Associate Professor,134118.9
449,Brock University,male,Associate Professor,123956.4
450,Brock University,male,Professor,127163.88
453,Brock University,female,Associate Professor,128521.92
455,Brock University,male,Professor,151657.38
456,Brock University,female,Associate Professor,123153.84
457,Brock University,female,Associate Professor,121274.34
458,Brock University,female,Associate Professor,125181.36
459,Brock University,male,Associate Professor,187625.34
460,Brock University,male,Associate Professor,144826.4
461,Brock University,male,Associate Professor,158243.88
463,Brock University,female,Professor,145615.38
464,Brock University,female,Associate Professor,133161.36
465,Brock University,male,Professor,151743.84
466,Brock University,male,Professor,146029.38
467,Brock University,female,Professor,143783.88
468,Brock University,male,Professor,126145.2
469,Brock University,male,Associate Professor,125556.36
471,Brock University,female,Professor,166937.84
472,Brock University,female,Professor,165799.38
473,Brock University,male,Associate Professor,138360.92
474,Brock University,male,Professor,165695.34
475,Brock University,male,Professor,190392.36
476,Brock University,male,Professor,194407.88
477,Brock University,female,Professor,120096.9
478,Brock University,male,Associate Professor,127031.88
479,Brock University,male,Associate Professor,110836.86
480,Brock University,male,Associate Professor,116336.86
481,Brock University,female,Associate Professor,120534.38
482,Brock University,male,Professor,189216.86
483,Brock University,male,Professor,117483.64
485,Brock University,female,Associate Professor,203011.84
486,Brock University,female,Associate Professor,106829.34
487,Brock University,male,Professor,145790.86
488,Brock University,male,Associate Professor,135252.16
489,Brock University,female,Associate Professor,132615.36
490,Brock University,female,Associate Professor,106091.34
491,Brock University,female,Professor,141964.55
492,Brock University,male,Associate Professor,129604.49
493,Brock University,male,Associate Professor,176088.42
494,Brock University,male,Professor,132664.86
495,Brock University,female,Associate Professor,127797.36
496,Brock University,male,Professor,173319.42
498,Brock University,female,Associate Professor,119554.86
500,Brock University,male,Professor,154366.38
501,Brock University,male,Professor,195748.86
502,Brock University,male,Professor,195517.84
503,Brock University,male,Professor,124899.9
504,Brock University,male,Professor,154377.36
505,Brock University,female,Professor,120240.9
506,Brock University,male,Professor,176246.88
507,Brock University,male,Associate Professor,136216.38
508,Brock University,male,Associate Professor,116285.4
511,Brock University,female,Associate Professor,145370.4
512,Brock University,male,Professor,158160.38
513,Brock University,male,Associate Professor,110677.92
515,Brock University,female,Assistant Professor,146501.36
516,Brock University,male,Associate Professor,181489.4
517,Brock University,male,Professor,148382.88
518,Brock University,male,Associate Professor,127504.38
519,Brock University,female,Associate Professor,132251.9
520,Brock University,female,Associate Professor,117154.4
521,Brock University,female,Associate Professor,133574.88
522,Brock University,male,Associate Professor,129205.38
523,Brock University,female,Associate Professor,103415.88
524,Brock University,male,Associate Professor,146351.88
525,Brock University,female,Associate Professor,121896.36
526,Brock University,female,Associate Professor,102407.92
527,Brock University,female,Associate Professor,198887.9
528,Brock University,male,Associate Professor,119303.88
529,Brock University,male,Professor,134376.88
531,Brock University,female,Associate Professor,104248.38
532,Brock University,male,Professor,142169.88
534,Brock University,female,Associate Professor,127495.88
535,Brock University,male,Associate Professor,133419.74
536,Brock University,male,Professor,121490.88
537,Brock University,female,Associate Professor,126573.4
538,Brock University,male,Associate Professor,146907.01
539,Brock University,female,Professor,158540.88
541,Brock University,male,Associate Professor,178062.88
542,Brock University,female,Professor,147199.38
543,Brock University,male,Associate Professor,100944.5
544,Brock University,female,Associate Professor,123082.38
545,Brock University,male,Associate Professor,212219.9
546,Brock University,female,Associate Professor,132447.9
547,Brock University,female,Associate Professor,105160.38
548,Brock University,female,Associate Professor,155080.92
549,Brock University,male,Professor,155340.36
550,Brock University,female,Associate Professor,111172.38
551,Brock University,male,Associate Professor,120942.42
552,Brock University,female,Associate Professor,124933.86
553,Brock University,female,Professor,162616.86
554,Brock University,female,Associate Professor,102452.88
555,Brock University,male,Associate Professor,120706.36
556,Brock University,male,Associate Professor,161069.4
557,Brock University,male,Associate Professor,112620.36
558,Brock University,male,Professor,127505.36
559,Brock University,male,Associate Professor,113363.88
560,Brock University,male,Associate Professor,160984.4
561,Brock University,female,Professor,180885.9
562,Brock University,male,Professor,161225.88
563,Brock University,male,Professor,191823.38
566,Brock University,male,Associate Professor,161774.9
569,Brock University,male,Associate Professor,155327.88
570,Brock University,female,Assistant Professor,126050.88
571,Brock University,female,Professor,160818.9
572,Brock University,female,Associate Professor,114622.38
573,Brock University,male,Professor,190003.4
574,Brock University,male,Associate Professor,135070.38
575,Brock University,male,Associate Professor,190503.86
576,Brock University,male,Associate Professor,121698.9
577,Brock University,female,Professor,149886.42
580,Brock University,male,Associate Professor,118267.38
581,Brock University,male,Professor,157095.32
582,Brock University,male,Associate Professor,176525.4
583,Brock University,male,Professor,163779.36
585,Brock University,female,Professor,159955.36
586,Brock University,male,Associate Professor,169981.38
588,Brock University,male,Associate Professor,104001.36
589,Brock University,male,Associate Professor,110634.36
590,Brock University,male,Professor,188750.42
591,Brock University,female,Assistant Professor,107064.42
592,Brock University,female,Associate Professor,170241.38
593,Brock University,male,Associate Professor,193609.26
594,Brock University,female,Associate Professor,181109.38
596,Brock University,male,Associate Professor,120386.4
597,Brock University,male,Professor,174494.9
598,Brock University,female,Associate Professor,141449.38
1688,Laurentian University of Sudbury,male,Professor,143148.06
1689,Laurentian University of Sudbury,male,Associate Professor,140148.0
1690,Laurentian University of Sudbury,male,Professor,154442.1
1691,Laurentian University of Sudbury,male,Associate Professor,111668.24
1693,Laurentian University of Sudbury,male,Associate Professor,102084.52
1695,Laurentian University of Sudbury,male,Associate Professor,126255.14
1696,Laurentian University of Sudbury,male,Professor,163744.92
1697,Laurentian University of Sudbury,female,Professor,152431.62
1698,Laurentian University of Sudbury,male,Professor,188400.7
1700,Laurentian University of Sudbury,male,Professor,158086.08
1701,Laurentian University of Sudbury,male,Professor,163991.12
1702,Laurentian University of Sudbury,female,Assistant Professor,132382.08
1703,Laurentian University of Sudbury,male,Professor,147660.99
1704,Laurentian University of Sudbury,male,Professor,192145.52
1705,Laurentian University of Sudbury,male,Associate Professor,139721.58
1706,Laurentian University of Sudbury,female,Professor,161524.9
1707,Laurentian University of Sudbury,female,Associate Professor,137233.14
1708,Laurentian University of Sudbury,female,Associate Professor,140271.84
1709,Laurentian University of Sudbury,male,Associate Professor,102576.09
1710,Laurentian University of Sudbury,male,Associate Professor,172021.14
1711,Laurentian University of Sudbury,male,Professor,171795.02
1713,Laurentian University of Sudbury,female,Associate Professor,130084.48
1715,Laurentian University of Sudbury,female,Associate Professor,126005.44
1716,Laurentian University of Sudbury,male,Professor,125753.66
1717,Laurentian University of Sudbury,female,Associate Professor,153175.08
1718,Laurentian University of Sudbury,male,Associate Professor,148157.1
1719,Laurentian University of Sudbury,female,Associate Professor,125705.84
1720,Laurentian University of Sudbury,female,Assistant Professor,117446.3
1721,Laurentian University of Sudbury,male,Associate Professor,141741.12
1722,Laurentian University of Sudbury,female,Assistant Professor,126671.68
1723,Laurentian University of Sudbury,female,Assistant Professor,125823.78
1724,Laurentian University of Sudbury,male,Associate Professor,131121.96
1726,Laurentian University of Sudbury,female,Associate Professor,132361.08
1727,Laurentian University of Sudbury,male,Assistant Professor,110923.92
1728,Laurentian University of Sudbury,male,Professor,164091.62
1729,Laurentian University of Sudbury,male,Professor,168679.58
1730,Laurentian University of Sudbury,female,Assistant Professor,113103.68
1731,Laurentian University of Sudbury,male,Assistant Professor,138427.62
1732,Laurentian University of Sudbury,male,Assistant Professor,108137.01
1733,Laurentian University of Sudbury,male,Professor,152309.12
1734,Laurentian University of Sudbury,male,Associate Professor,109001.08
1735,Laurentian University of Sudbury,male,Professor,118698.97
1736,Laurentian University of Sudbury,male,Associate Professor,124616.2
1737,Laurentian University of Sudbury,male,Associate Professor,134341.0
1740,Laurentian University of Sudbury,male,Associate Professor,116478.9
1742,Laurentian University of Sudbury,male,Associate Professor,114520.74
1743,Laurentian University of Sudbury,female,Associate Professor,134113.28
1744,Laurentian University of Sudbury,male,Professor,143950.74
1745,Laurentian University of Sudbury,male,Associate Professor,106602.44
1746,Laurentian University of Sudbury,female,Associate Professor,139480.4
1747,Laurentian University of Sudbury,male,Assistant Professor,140197.08
1753,Laurentian University of Sudbury,male,Associate Professor,129748.3
1754,Laurentian University of Sudbury,female,Associate Professor,146663.09
1755,Laurentian University of Sudbury,male,Professor,103838.1
1756,Laurentian University of Sudbury,male,Associate Professor,155875.48
1759,Laurentian University of Sudbury,male,Associate Professor,122906.8
1760,Laurentian University of Sudbury,male,Professor,148271.88
1761,Laurentian University of Sudbury,male,Assistant Professor,121989.18
1762,Laurentian University of Sudbury,male,Assistant Professor,106369.9
1763,Laurentian University of Sudbury,male,Associate Professor,111758.0
1764,Laurentian University of Sudbury,female,Assistant Professor,125873.84
1765,Laurentian University of Sudbury,male,Associate Professor,156356.18
1766,Laurentian University of Sudbury,male,Assistant Professor,118153.6
1767,Laurentian University of Sudbury,female,Associate Professor,121693.26
1768,Laurentian University of Sudbury,female,Assistant Professor,123415.02
1769,Laurentian University of Sudbury,male,Assistant Professor,112298.64
1770,Laurentian University of Sudbury,male,Assistant Professor,119788.24
1771,Laurentian University of Sudbury,male,Associate Professor,171596.1
1772,Laurentian University of Sudbury,female,Associate Professor,128689.02
1773,Laurentian University of Sudbury,male,Professor,152417.1
1774,Laurentian University of Sudbury,male,Professor,181969.52
1775,Laurentian University of Sudbury,male,Professor,115744.8
1780,Laurentian University of Sudbury,female,Professor,156235.08
1781,Laurentian University of Sudbury,female,Assistant Professor,104723.62
1782,Laurentian University of Sudbury,male,Associate Professor,111232.5
1783,Laurentian University of Sudbury,male,Professor,145240.14
1785,Laurentian University of Sudbury,female,Professor,158089.08
1786,Laurentian University of Sudbury,male,Professor,143803.14
1787,Laurentian University of Sudbury,male,Professor,169774.08
1788,Laurentian University of Sudbury,male,Associate Professor,108613.46
1789,Laurentian University of Sudbury,male,Professor,157712.1
1791,Laurentian University of Sudbury,male,Professor,163124.1
1793,Laurentian University of Sudbury,male,Professor,154555.1
1794,Laurentian University of Sudbury,female,Associate Professor,116662.62
1795,Laurentian University of Sudbury,male,Associate Professor,144866.09
1799,Laurentian University of Sudbury,male,Professor,130633.06
1801,Laurentian University of Sudbury,male,Professor,162089.12
1802,Laurentian University of Sudbury,male,Associate Professor,122223.62
1804,Laurentian University of Sudbury,female,Assistant Professor,112097.64
1805,Laurentian University of Sudbury,male,Associate Professor,142004.44
1806,Laurentian University of Sudbury,female,Assistant Professor,109035.04
1807,Laurentian University of Sudbury,male,Professor,163095.1
1808,Laurentian University of Sudbury,female,Associate Professor,120902.06
1809,Laurentian University of Sudbury,female,Associate Professor,120389.44
1811,Laurentian University of Sudbury,male,Professor,147997.67
1812,Laurentian University of Sudbury,male,Assistant Professor,147085.09
1813,Laurentian University of Sudbury,female,Associate Professor,119654.4
1814,Laurentian University of Sudbury,female,Associate Professor,112721.32
1816,Laurentian University of Sudbury,female,Assistant Professor,110968.59
1817,Laurentian University of Sudbury,male,Associate Professor,138139.62
1818,Laurentian University of Sudbury,female,Assistant Professor,109690.3
1820,Laurentian University of Sudbury,male,Professor,139861.04
1821,Laurentian University of Sudbury,female,Professor,160161.06
1823,Laurentian University of Sudbury,female,Associate Professor,141728.09
1824,Laurentian University of Sudbury,female,Associate Professor,141225.45
1825,Laurentian University of Sudbury,male,Associate Professor,111321.99
1826,Laurentian University of Sudbury,female,Associate Professor,151584.12
1827,Laurentian University of Sudbury,female,Professor,164073.12
1829,Laurentian University of Sudbury,male,Professor,159639.5
1831,Laurentian University of Sudbury,female,Associate Professor,130429.52
1832,Laurentian University of Sudbury,female,Professor,161703.0
1833,Laurentian University of Sudbury,male,Associate Professor,144047.09
1836,Laurentian University of Sudbury,male,Assistant Professor,147861.18
1837,Laurentian University of Sudbury,male,Professor,123376.62
1838,Laurentian University of Sudbury,male,Professor,162486.12
1839,Laurentian University of Sudbury,male,Professor,144126.97
1840,Laurentian University of Sudbury,female,Assistant Professor,126354.08
1842,Laurentian University of Sudbury,male,Associate Professor,123906.32
1844,Laurentian University of Sudbury,male,Associate Professor,103790.76
1845,Laurentian University of Sudbury,male,Professor,114280.46
1846,Laurentian University of Sudbury,female,Associate Professor,109291.32
1848,Laurentian University of Sudbury,male,Professor,165467.1
1849,Laurentian University of Sudbury,male,Professor,126382.02
1850,Laurentian University of Sudbury,male,Assistant Professor,137958.0
1854,Laurentian University of Sudbury,female,Associate Professor,126017.44
1855,Laurentian University of Sudbury,male,Assistant Professor,105372.92
1856,Laurentian University of Sudbury,male,Associate Professor,131640.38
1857,Laurentian University of Sudbury,female,Associate Professor,148638.37
1859,Laurentian University of Sudbury,female,Professor,158736.56
1860,Laurentian University of Sudbury,male,Associate Professor,119739.3
1861,Laurentian University of Sudbury,male,Professor,115410.62
1862,Laurentian University of Sudbury,male,Associate Professor,123702.04
1863,Laurentian University of Sudbury,male,Professor,169262.62
1864,Laurentian University of Sudbury,male,Associate Professor,112846.8
1865,Laurentian University of Sudbury,male,Assistant Professor,103143.58
1866,Laurentian University of Sudbury,female,Associate Professor,141415.65
1867,Laurentian University of Sudbury,female,Professor,158911.14
1869,Laurentian University of Sudbury,male,Professor,189130.08
1870,Laurentian University of Sudbury,female,Associate Professor,169526.44
1871,Laurentian University of Sudbury,male,Professor,176627.1
1872,Laurentian University of Sudbury,female,Associate Professor,153782.58
1873,Laurentian University of Sudbury,female,Associate Professor,154436.1
1875,Laurentian University of Sudbury,female,Associate Professor,111833.96
1876,Laurentian University of Sudbury,male,Professor,160937.77
1878,Laurentian University of Sudbury,female,Assistant Professor,133008.86
1879,Laurentian University of Sudbury,male,Professor,155924.33
1882,Laurentian University of Sudbury,male,Professor,168164.78
1884,Laurentian University of Sudbury,female,Assistant Professor,114855.68
1887,Laurentian University of Sudbury,female,Assistant Professor,105993.4
1888,Laurentian University of Sudbury,male,Associate Professor,154105.08
1891,Laurentian University of Sudbury,female,Assistant Professor,105638.51
1892,Laurentian University of Sudbury,male,Assistant Professor,126391.64
1894,Laurentian University of Sudbury,male,Professor,151868.58
1895,Laurentian University of Sudbury,female,Assistant Professor,106084.16
1896,Laurentian University of Sudbury,female,Assistant Professor,147744.08
1897,Laurentian University of Sudbury,female,Associate Professor,136934.1
1899,Laurentian University of Sudbury,male,Associate Professor,139745.58
1902,Laurentian University of Sudbury,male,Associate Professor,106331.96
1903,Laurentian University of Sudbury,male,Associate Professor,133736.36
1904,Laurentian University of Sudbury,female,Assistant Professor,125702.54
1905,Laurentian University of Sudbury,female,Associate Professor,134082.2
1906,Laurentian University of Sudbury,male,Professor,180623.58
1907,Laurentian University of Sudbury,female,Assistant Professor,110195.84
1908,Laurentian University of Sudbury,female,Associate Professor,129019.04
1909,Laurentian University of Sudbury,female,Professor,167365.7
1910,Laurentian University of Sudbury,female,Associate Professor,116162.16
1911,Laurentian University of Sudbury,female,Professor,145820.88
1914,Laurentian University of Sudbury,female,Assistant Professor,139287.35
1915,Laurentian University of Sudbury,male,Associate Professor,153287.08
1916,Laurentian University of Sudbury,female,Associate Professor,119555.56
1917,Laurentian University of Sudbury,male,Assistant Professor,128116.96
1919,Laurentian University of Sudbury,female,Professor,149799.37
1921,Laurentian University of Sudbury,male,Associate Professor,114388.84
1922,Laurentian University of Sudbury,male,Professor,144436.16
1924,Laurentian University of Sudbury,male,Professor,149973.06
1925,Laurentian University of Sudbury,male,Professor,160888.11
1928,Laurentian University of Sudbury,female,Assistant Professor,117888.46
1930,Laurentian University of Sudbury,female,Associate Professor,109897.94
1931,Laurentian University of Sudbury,male,Professor,171743.58
1932,Laurentian University of Sudbury,female,Associate Professor,130281.54
1933,Laurentian University of Sudbury,male,Professor,183942.5
1934,Laurentian University of Sudbury,male,Assistant Professor,102124.64
1935,Laurentian University of Sudbury,female,Professor,165014.68
